"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"blank_info3","YOUR IP<br/>t.me/eas1ly","YOUR IP<br/>t.me/eas1ly","Vaše IP<br/>t.me/eas1ly","IHRE IP<br/>t.me/eas1ly","ВАШ IP<br/>t.me/eas1ly","Twoje IP<br/>t.me/eas1ly","Az IP<br/>t.me/eas1ly","Il tuo IP<br/>t.me/eas1ly","SU IP<br/>t.me/eas1ly","VOTRE IP<br/>t.me/eas1ly","您的IP<br/>t.me/eas1ly","あなたのIP<br/>t.me/eas1ly","Seu IP<br/>t.me/eas1ly","您的IP<br/>t.me/eas1ly",
"blank_title4","Our website","Our website","naše webové stránky","Unsere Internetseite","Наш сайт","Nasza strona internetowa","A honlapunk","Il nostro sito web","Nuestra página web","Notre site Web","我们的网站","私たちのウェブサイト","Our website","我们的网站",
"blank_info4","YOUR WEBSITE<br/>t.me/eas1ly","YOUR WEBSITE<br/>t.me/eas1ly","Vaše stránky<br/>t.me/eas1ly","IHRE WEBSITE<br/>t.me/eas1ly","ВАШ САЙТ<br/>t.me/eas1ly","Twoja strona<br/>t.me/eas1ly","Az Ön honlapja<br/>t.me/eas1ly","Il tuo sito<br/>t.me/eas1ly","SU SITIO<br/>t.me/eas1ly","VOTRE SITE<br/>t.me/eas1ly","您的网站<br/>t.me/eas1ly","あなたのウェブサイト<br/>t.me/eas1ly","Seu site <br/>t.me/eas1ly","您的网站<br/>t.me/eas1ly",
"blank_title5","INFO","INFO","INFORMACE","Information","ИНФОРМАЦИЯ","Informacje","információ","INFORMAZIONE","INFORMACIÓN","INFORMATION","资料","情報","INFORMAÇÃO","资料",
"blank_info5","Leave your important info here.","Leave your important info here.","Nech si tu důležité informace.","Lass deine wichtigen Informationen hier.","Оставь свою важную инфу тут.","Zostaw tutaj swoje ważne informacje.","Hagyja itt a fontos információkat.","Lascia qui la tua importante informazione.","Deja tu información importante aquí.","Laisse tes infos importantes ici.","把你的重要信息留在这里。","ここにあなたの重要な情報を残してください。","Deixe suas informações importantes aqui.","把你的重要信息留在这里。",
"str_blank_credits_title0","About the user interface","About the user interface","O uživatelském rozhraní","Über die Benutzeroberfläche","О пользовательском интерфейсе","O interfejsie użytkownika","A felhasználói felületről","Informazioni sull'interfaccia utente","Acerca de la interfaz de usuario","À propos de l'interface utilisateur","关于用户界面","ユーザーインターフェースについて","Sobre a interface do Usuário","关于用户界面",
"str_blank_credits_text1","Thank you for being with us!","Thank you for being with us!","Díky, že jste s námi!","Danke, dass Sie bei uns sind!","Спасибо за то что вы с нами!","Dziękujemy za bycie z nami!","Köszönjük, hogy velünk vagy!","Grazie per essere con noi!","¡Gracias por estar con nosotros!","Merci d'être avec nous!","谢谢你和我们在一起！","私たちと一緒にいてくれてありがとう！","Obrigado por estar conosco!","谢谢你和我们在一起！",
"str_blank_credits_text2","Information","Information","Informace","Information","Информация","Informacje","Információ","Informazione","Información","Information","资料","情報","Informação","资料",
"str_blank_credits_text3","- Good server hardware.","- Good server hardware.","- Dobré serverové železo.","- Gutes Server-Eisen.","- Хорошее серверное железо.","- Dobry sprzęt serwerowy.","- Jó szerver hardver.","- Buon hardware del server.","- Buen servidor de hierro.","- Bon matériel de serveur.","-良好的服务器硬件。","-良いサーバーハードウェア。","- Bom hardware de servidor.","-良好的服务器硬件。",
"str_blank_credits_text4","- A moderate number of modifications and changes.","- A moderate number of modifications and changes.","- Mírný počet modifikací a změn.","- Moderate Anzahl von Änderungen und Änderungen.","- Умеренное количество модификаций и изменений.","- Umiarkowana liczba modyfikacji i zmian.","- Mérsékelt számú módosítás és változtatás.","- Un numero moderato di modifiche e modifiche.","- Cantidad moderada de modificaciones y cambios.","- Nombre modéré de modifications et de modifications.","-适度数量的修改和变化。","-適度な数の変更と変更。"," Um número moderado de modificações e modificações.","-适度数量的修改和变化。",
"str_blank_credits_text5","- Unique DayZ mapping entering the atmosphere.","- Unique DayZ mapping entering the atmosphere.","- Jedinečná atmosféra DayZ mupping.","- Einzigartiges DayZ-Mapping in der Atmosphäre.","- Уникальный входящий в атмосферу DayZ маппинг.","- Wyjątkowy klimat DayZ mapping.","- Egyedi Dayz leképezés a légkörbe.","- Unico ambiente DayZ mapping.","- Único en La atmósfera Dayz Mapping.","- Unique dans L'atmosphère de Dayz mapping.","-独特的DayZ映射进入大气层。","-雰囲気に入るユニークなDayZマッピング。","- O único DayZ que entra na atmosfera do Mapeamento.","-独特的DayZ映射进入大气层。",
"str_blank_credits_text6","- The main focus of the servers is on PvP.","- The main focus of the servers is on PvP.","- Hlavní zaměření serverů na PvP.","- Die Hauptaugenmerk der Server auf PvP.","- Основная направленность серверов на PvP.","- Główny nacisk serwerów na PvP.","- A szerverek fő hangsúlya a PvP.","- L'obiettivo principale dei server su PvP.","- El enfoque principal de los servidores en PvP.","- L'accent principal des serveurs sur le PvP.","-服务器的主要重点是PvP。","-サーバーの主な焦点はPvPにあります。","- O foco principal dos servidores em PvP.","-服务器的主要重点是PvP。",
"str_blank_credits_title1","About game servers","About game servers","O herních serverech","Informationen zu Spielservern","О игровых серверах","O serwerach gier","A játékszerverekről","Informazioni sui server di gioco","Acerca de los servidores de juegos","À propos des serveurs de jeux","关于游戏服务器","ゲームサーバーについて","Sobre servidores de jogos","关于游戏服务器",
"str_blank_credits_title2","About the project developers","About the project developers","O vývojářích projektu","Über die Projektentwickler","О разработчиках проекта","O twórcach projektu","A projekt fejlesztőiről","Informazioni sugli sviluppatori del progetto","Acerca de los desarrolladores del proyecto","À propos des développeurs du projet","关于项目开发人员","プロジェクト開発者について","Sobre os desenvolvedores do projeto","关于项目开发人员",
"str_blank_credits_title3","Server Administration","Server Administration","Správa serverů","Serververwaltung","Администрация серверов","Administracja serwerami","Szerver Adminisztráció","Amministrazione dei server","Administración de servidores","Administration des serveurs","服务器管理","サーバー管理","Administração de servidores","服务器管理",
"str_blank_credits_title4","Contact information","Contact information","Kontaktní údaje","Kontaktdaten","Контактные данные","Dane kontaktowe","Elérhetőség","Informazioni di contatto","Información de contacto","Coordonnées","联络资料","連絡先情報","Dados de contato","联络资料",
"str_blank_credits_ceowner","Co-owner - eas1ly","Co-owner - eas1ly","Spolumajitel-eas1ly","Miteigentümer - eas1ly","Совладелец - eas1ly","Współwłaściciel-eas1ly","Társtulajdonos-eas1ly","Comproprietario-eas1ly","Copropietario-eas1ly","Copropriétaire-eas1ly","共同拥有人-eas1ly","共同所有者-eas1ly","Co-proprietário-eas1ly","共同拥有人-eas1ly",
"str_blank_credits_owner","The owner is eas1ly","The owner is eas1ly","Majitel-eas1ly","Besitzer - eas1ly","Владелец - eas1ly","Właściciel-eas1ly","A tulajdonos eas1ly","Proprietario-eas1ly","Propietario-eas1ly","Propriétaire-eas1ly","主人很容易","所有者はeas1lyです","Proprietário-eas1ly","主人很容易",
"str_blank_credits_superadmin","Chief admin - eas1ly","Chief admin - eas1ly","Gl. admin-eas1ly","Kapitel Admin - eas1ly","Гл. админ - eas1ly","GL. Admin-eas1ly","Vezető admin-eas1ly","Amministratore-eas1ly","GL. admin-eas1ly","GL. admin-eas1ly","总行政-eas1ly","チーフ管理者-eas1ly","Administrador-eas1ly","总行政-eas1ly",
"str_blank_credits_admin1","Admin CHERNO 1pp - eas1ly","Admin CHERNO 1pp - eas1ly","Administrátor CHERNO 1PP-eas1ly","Admin CHERNO 1pp - eas1ly","Админ CHERNO 1pp - eas1ly","Admin CHERNO 1pp-eas1ly","Admin CHERNO 1PP-eas1ly","Amministratore CHERNO 1PP-eas1ly","Admin CHERNO 1PP-eas1ly","Admin CHERNO 1PP-eas1ly","行政切尔诺1pp-eas1ly","管理者CHERNO1pp-eas1ly","Administrador CHERNO 1pp-eas1ly","行政切尔诺1pp-eas1ly",
"str_blank_credits_admin2","Admin CHERNO 3pp - eas1ly","Admin CHERNO 3pp - eas1ly","Administrátor CHERNO 3PP-eas1ly","Admin CHERNO 3pp - eas1ly","Админ CHERNO 3pp - eas1ly","Admin CHERNO 3pp-eas1ly","Admin CHERNO 3PP-eas1ly","Amministratore CHERNO 3PP-eas1ly","Administración CHERNO 3pp-eas1ly","Admin CHERNO 3PP-eas1ly","行政切尔诺3PP-eas1ly","管理者チェルノ3pp-eas1ly","Administrador CHERNO 3pp-eas1ly","行政切尔诺3PP-eas1ly",
"str_blank_credits_admin3","Admin NAMALSK 1pp - eas1ly","Admin NAMALSK 1pp - eas1ly","Admin NAMALSK 1pp-eas1ly","Admin NAMALSK 1pp - eas1ly","Админ NAMALSK 1pp - eas1ly","Admin NAMALSK 1pp-eas1ly","Admin NAMALSK 1PP-eas1ly","Amministratore NAMALSK 1PP-eas1ly","Administración NAMALSK 1PP-eas1ly","Admin NAMALSK 1PP-eas1ly","行政NAMALSK1pp-eas1ly","管理NAMALSK1pp-eas1ly","Admin NAMALSK 1pp-eas1ly","行政NAMALSK1pp-eas1ly",
"str_blank_credits_admin4","Admin of LIVONIA 1pp - eas1ly","Admin of LIVONIA 1pp - eas1ly","Správce LIVONIA 1PP-eas1ly","LIVONIA 1pp Admin - eas1ly","Админ LIVONIA 1pp - eas1ly","Admin LIVONIA 1pp-eas1ly","LIVONIA Admin 1PP-eas1ly","Amministratore LIVONIA 1PP-eas1ly","Administración LIVONIA 1PP-eas1ly","Admin LIVONIA 1PP-eas1ly","利沃尼亚行政1pp-eas1ly","リヴォニアの管理者1pp-eas1ly","Administrador LIVONIA 1PP-eas1ly","利沃尼亚行政1pp-eas1ly",
"blank_settings_back","Exit to the main menu","Exit to the main menu","Zobrazit v menu","Hauptmenü verlassen","Выйти в гл. меню","Wyjdź do rozdz. menu","Kilépés a főmenübe","Vai al capitolo menu","Ir al menú","Aller au chapitre menu","退出到主菜单","メインメニューを終了します","Vá para o menu principal","退出到主菜单",
"blank_settings_apply","Apply Settings","Apply Settings","Použít nastavení","Einstellungen anwenden","Применить настройки","Zastosuj ustawienia","Beállítások Alkalmazása","Applica impostazioni","Aplicar configuración","Appliquer les paramètres","应用设置","設定の適用","Aplicar configurações","应用设置",
"blank_settings_reset","Reset settings","Reset settings","Resetovat nastavení","Einstellungen zurücksetzen","Сбросить настройки","Zresetuj ustawienia","Beállítások visszaállítása","Ripristina impostazioni","Restablecer configuración","Réinitialiser les paramètres","重置设置","設定のリセット","Repor as definições","重置设置",
"blank_settings_standart","Return to the standard settings","Return to the standard settings","Vrátit standardní nastavení","Standardeinstellungen zurücksetzen","Вернуть стандартные настройки","Przywróć standardowe ustawienia","Visszatérés a normál beállításokhoz","Ripristina le impostazioni predefinite","Devolver la configuración predeterminada","Rétablir les paramètres par défaut","返回标准设置","標準設定に戻る","Repor as predefinições","返回标准设置",
"blank_settings_game","Game Settings","Game Settings","Nastavení hry","Spieleinstellungen","Настройки игры","Ustawienia gry","Játék Beállítások","Impostazioni di gioco","Ajustes del juego","Paramètres du jeu","游戏设置","ゲームの設定","Configurações do jogo","游戏设置",
"blank_settings_sound","Sound Settings","Sound Settings","Nastavení zvuku","Audio-Einstellungen","Настройки звука","Ustawienia dźwięku","Hangbeállítások","Impostazioni audio","Ajustes de sonido","Paramètres audio","声音设置","サウンド設定","Configurações de áudio","声音设置",
"blank_settings_video","Video Settings","Video Settings","Nastavení videa","Video-Einstellungen","Настройки видео","Ustawienia wideo","Videó Beállítások","Impostazioni video","Ajustes de vídeo","Paramètres vidéo","视频设置","ビデオ設定","Configurações de vídeo","视频设置",
"blank_settings_controls","Controls Settings","Controls Settings","Nastavení ovládání","Steuerungseinstellungen","Настройки управления","Ustawienia sterowania","Kezelési Beállítások","Impostazioni di controllo","Ajustes de control","Paramètres de contrôle","管理设置","管理設定","Configurações de controle","管理设置",
"blank_playBtn3","Play3","Play3","Hrajte3","Spielen3","Играть3","Graj3","Játék3","Gioco3","Jugar3","Jouer3","","プレイ3","Jogar3","",
"blank_select_server","Choose a server to connect to?","Choose a server to connect to?","Vyberte server pro připojení?","Wählen Sie einen Server für die Verbindung aus?","Выберите сервер для подключения?","Wybierz serwer, z którym chcesz się połączyć?","Válasszon egy szervert, amelyhez csatlakozni szeretne?","Scegli un server a cui connetterti?","Seleccione un servidor para conectarse?","Sélectionnez le serveur à connecter?","选择要连接的服务器？","接続するサーバーを選択しますか？","Escolha um servidor para se conectar?","选择要连接的服务器？",
"blank_menu_info","Information","Information","Informace","Information","Информация","Informacje","Információ","Informazione","Información","Information","资料","情報","Informação","资料",
